What are the factors that influence your learning pace and how much time you spend?,
response_id,answer
1039,Side tasks or projects
1040,"Electricity, Internet Connectivity amd Financial stability. "
1045,Depends on what projects I want to do or if I'm currently in one
1050,Deadlines mainly
1052,The tutorial helped me a lot I usually spent about 6 hours a week
1056,Interest in learning the new topics and availability of internet connectivity
1057,"How close a deadline is for something, or if something engages me and I get into a flow state."
1062,"Factors include:
- how I slept the previous night.
- If I have any pressing issues at work
- My motivation levels"
1066,"Compulsory classes that I have to attend.
My daily routine."
1069,The busyness of my current job is affecting my learning pace the most.  I usually spend 2 hours in a day to learn new things.
1082,Личные обстоятельства и загруженность на работе.
1083,La charge de travail professionnelle
1091,"Currently, it seems that I dedicate more time to fields and ideas that grab my interest. As more things grab my interest I spend more time learning about them until I reach a point where I feel skilled enough in the foundations, this allows me to tackle harder concepts as required, when required."
1098,The importance of the topic to me also if I like a topic I can spend a lot of time on it.
1099,"Motivation, Energy, Confidence "
1107,Family responsabilites.
1108,My interest in the topics and depth of the topic.
1110,"Exam phase coming up... I'm a uni student and even if I continuously study, the week before the exam is something else. I try to spend as much time as possible studying because I want to have a bright future and not fail university."
1111,The difficulty of the subject and the quality of the source from which I learned in general 
1113,My mood and motivation that day. External work or activities that may prevent progress. Seeing results of my learning.
1116,"I don't hurry, I like to understand things in details and I spend as many hours as I want until I understand something."
1117,"School Work, and Projects "
1118,My motivation about the topic
1120,I want to learn new things but also to have free time for me. I'm a chill person 
1124,Druck und Motivation
1125,Öğrenmeye çalıştığım konunun örneğinin olması beni çok hızlandırabilir eğer yoksa çok daha fazla vakit harcıyorum.
1126,学校の授業に関した自習や復習に時間を主に費やす必要かあるため。
1127,"- how much time I need to complete other tasks
- a specific deadline 
- the current progress of learning something new "
1130,How engaged I am getting in some topic. It can vary depending what I am learning at that point. If I am engaged I may spend more than 8 hours a day by learning something
1134,The teaching pace as I'm taking courses
1141,University deadlines
1143,Le rythme scolaire avec des projets à rendre + le rythme alternance avec l'attente de l'entreprise 
1145,"High-quality, engaging materials and interactive tools can facilitate quicker understanding and retention."
1150,My interactions with other people and class works
1154,短期的な目標が継続的に続き、達成できること
1159,Meine persönliche Motivation 
1161,"Les projets sur les quels je travaillent actuellement en entreprises ou a l'école
L'intérêt que je porte a ces projets"
1165,"1. Better lifestyle
2. Better professional network
3. Freedom
4. Parents 
5.travelling"
1170,"mood, possibility"
1171,usually vacant time where i got nothing to do and it can be in the average 5hr/day 
1180,"My interest in the topic, upcoming deadlines like exams and external factors like catching up with friends"
1181,Simplicity of the course
1184,University workload and current interests
1185,My interest in a topic 
1188,If I do have time and energy for it.
1189,"I dedicate more time to the topics that help me the most on my current role, either university or job. For example, it's more interesting to me learning how complex distributed systems originated and how do they work than learning how to implement one but, sometimes I might need to prioritize implementation over understanding to meet my deadlines."
1190,distracting presences
1192,"1. 업무와의 연관성:
학습 내용이 업무에 필요한 경우에 학습에 할애하는 시간이 늘어나게 된다.

2. 학습에 연관된 업무의 마감 기한:
학습에 연괸된 업무의 마감 기한이 임박한 경우 체계적으로 모든 하위 주제에 충분한 시간을 들여 학습하지 못하므로 오히려 학습 속도는 느려지게 된다."
1195,How much time I have available
1197,*Why* I'm studying - e.g. if it's for a course test or for a personal project.
1198,My project 
1199,Other school assignments and other activities
1202,The most important factor is my interest in a specific topic: I like to study about things I find interesting.
1203,Structure of the curriculum.
1205,The time that I have left in that week and if I am in the learning mood.
1207,"1. my motivation, emotional state and interest at the time.
2. Prior knowledge and understanding of what o am trying to learn.
3. Cognitive ability.
"
1209,The level of each topic and my personal time off-work
1210,Interest in topic and the reason I learn it.
1212,"How much stuff I have to know to get my degree which is absurdly high
How much stuff I have from the teachers to learn which is absurdly low"
1213,Motivation 
1214,"Private Verpflichtungen wie Kinder, Arbeitgeber "
1222,Günlük 2 saat videolu konu anlatımı izliyorum ve 1 saat konu tekrarı yapıyorum. Günlük 3 saat yazılım dersi çalışıyorum.
1223,Eventual deadlines or concurrent commitments
1229,Interest
1233,Eu dedico o tempo necessário que a faculdade exige
1234,Balance with personal projects / Courses
1238,Principalement si j'ai le temps de la faire. La motivation vient juste après.
1241,"Mostly what I need or want to have done, when it needs to be finished and how motivated I am."
1243,Problem domain complexity 
1248,Work responsibilities and work time. Mental health - work life balance
1249,University
1250,"1) L'envie. 2) L'environnement (calme, studieux, etc)"
1251,Pace and time consumption of university courses
1255,How much time I have and the complexity of the subject matter
1258,"The other activities, tasks, and assignments I have that week. If it's a busy week, I'm probably not going to spend a whole lot of time learning"
1260,"When the next term test is nearby, or if it impacts one of my assignments."
1262,Contraintes de cours et de travail
1265,"Deadlines, difficulty of requirements, interest"
